"店铺","账号","视频标题","视频链接","发布时间","时长秒","播放量","点赞数","评论数","分享数","收藏数","互动率"
"ETCYY-US","etcyy.glam","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAI95MRpE0J2k31jCljJSn-F0-knBxN1H-2B629ifUTuROBthPTMhoEBgJdtPsHfIL/video/7681584132484238622","2026-09-04T18:32:00+08:00","15","47","0","0","0","0","0"
"ETCYY-US","etcyy.mode","#sohochic#FallVibesSweatshirt #WomensCozyTop #SeasonalFashionSweatshi...","https://www.tiktok.com/@MS4wLjABAAAAAzWwlO1snm3knv0nLXURI_21KQG9TG5Rl0IsUoNTIiH1nJlP5ORdCNRtOnNp_FBF/video/7680505242840042766","2026-09-01T19:33:00+08:00","15","47","0","0","0","0","0"
"ETCYY-US","etcyy.trends","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAxjZhhWuHncPj_vKg81t30P0KBSD0vIEjkmVaF2TqCud5QgyDrA1hvlysd3ksAMex/video/7681205166741179662","2026-09-03T22:49:00+08:00","15","47","0","0","0","0","0"
"ETCYY-US","etcyyfashion.us","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAp926TyS2DAQENQPGFLeFUMmbKXdhwNitFIkicm5Aw5Ep27vC7G5qDsoD_An3R6JY/video/7680878542107708686","2026-09-02T19:41:00+08:00","15","47","0","0","0","0","0"
"ETCYY-US","etcyycloset","#RelaxedFitBlouse#BlueWhiteStripeTop#ChicOfficeBlouse #LayeredFashionTop","https://www.tiktok.com/@MS4wLjABAAAAaCwGq_3D-9xVRayIp3icS8N58NePtV5mre_jyDhWQjswQeXIrKxf3p1Wm-uUCb7V/video/7679030483589565709","2026-08-28T20:10:00+08:00","15","47","0","0","0","0","0"
"ETCYY","etcyy.girl","contrast denim polo pullover#Sweater #Pullover #Preppy #tiktokshopbac...","https://www.tiktok.com/@MS4wLjABAAAAED6sbt0gYEWU6akMi_DNMrZdwnMl5vHKWozKnOQrev5G2fpWaWyKhzy9WYwG3Yi2/video/7682343835866844429","2026-09-06T16:58:57+08:00","7","47","0","0","0","0","0"
"ETCYY","etcyychic","Comment “sale“，If you want a discount#swimwear #bikini #ootd #fyp","https://www.tiktok.com/@MS4wLjABAAAA67cypz92QYqZmYg6fDgoLRPkXFvwonvRMfQTgbnU5iceQDLjyEX97uDleqIj141n/video/7682726118570331422","2026-09-07T17:41:22+08:00","15","47","1","0","0","0","0.02127659574468085"
"ETCYY-US","etcyyus","80'S#shirts #cowboy #ootd #tiktokshopbacktoschool","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7676399756163255583","2026-08-21T16:32:40+08:00","15","46","0","0","0","0","0"
"ETCYY-US","etcyy.mode","#TwoInOneSweaterShirt #WomensOfficeWear #TrendyLayeredTop #StripedKni...","https://www.tiktok.com/@MS4wLjABAAAAAzWwlO1snm3knv0nLXURI_21KQG9TG5Rl0IsUoNTIiH1nJlP5ORdCNRtOnNp_FBF/video/7680126871459171597","2026-08-31T20:05:00+08:00","15","46","0","0","0","0","0"
"ETCYY-US","etcyy.style","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAQ3FFLKyG0bIqEGSl9sECwwUSBa9ardtZjxuurrr8cU1J7aq2bG_vJhHFQ5YOavmm/video/7682752376381689101","2026-09-07T21:54:00+08:00","15","45","0","0","0","0","0"
