"店铺","账号","视频标题","视频链接","发布时间","时长秒","播放量","点赞数","评论数","分享数","收藏数","互动率"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7677248192957762829","2026-08-23T23:24:26+08:00","15","16800","11","0","1","3","0.0007142857142857143"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #fyp ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7680961638475861262","2026-09-03T03:03:00+08:00","15","12900","12","0","1","3","0.0010077519379844962"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7679139925484113166","2026-08-29T01:45:02+08:00","15","11200","5","0","1","2","0.0005357142857142857"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #fyp ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7680961259130408206","2026-09-03T01:02:00+08:00","15","10800","9","0","0","0","0.0008333333333333334"
"ETCYY-US","wardrobepicked","ETCYY Sexy Deep V Neck HalterCrop Top for Women#fyp #tiktokshopmemori...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7681257918972415262","2026-09-03T18:44:03+08:00","14","10100","44","0","2","10","0.004554455445544554"
"ETCYY-US","wardrobepicked","ETCYY NEW Women's ElegantFloral Lace Patchwork Long Sleeve Blouse#fyp...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7680876630264352030","2026-09-02T18:04:25+08:00","11","10100","21","0","3","7","0.002376237623762376"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7676913474101890317","2026-08-23T03:15:00+08:00","15","7488","7","0","0","0","0.0009348290598290599"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7677248618771877133","2026-08-24T00:55:00+08:00","15","6796","9","0","2","5","0.001618599175985874"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7678539787913022734","2026-08-27T13:25:00+08:00","15","3937","1","0","1","1","0.000508001016002032"
"ETCYY-US","etcyy.outfits","#ootd#UniqueDesignShirt #WomensFashionBlouse#NavyBlueLayeredBlouse","https://www.tiktok.com/@MS4wLjABAAAAoQFJPQPYC22qIvVGvvvRC0g_My8pz54doaZlHyyB-tRzCgol_WB2xUmnrUdaPRmI/video/7678645061839572238","2026-08-27T19:15:00+08:00","15","3816","5","1","0","0","0.0015723270440251573"
"ETCYY-US","etcyy.shop","chic dress 🤍💫#dress #ootd #tiktokshopbacktoschool #backtoschooldress","https://www.tiktok.com/@MS4wLjABAAAAk77v-F906GlGTkZZ5pEuTXeDeihRllX-eae_barUoG6rv7_TlXAxE563gn3C1XXo/video/7679385589849918751","2026-08-29T17:39:29+08:00","13","3633","10","0","0","3","0.0027525461051472614"
"ETCYY-US","wardrobepicked","ETCYY Sexy Deep V Neck HalterCrop Top for Women#fyp #tiktokshopmemori...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7682006841248812319","2026-09-05T19:11:21+08:00","14","3330","15","0","1","6","0.004804804804804805"
"ETCYY-US","wardrobepicked","ETCYY NEW Women's ElegantFloral Lace Patchwork Long Sleeve Blouse#fyp...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7681986049601441055","2026-09-05T17:50:15+08:00","16","2707","4","0","0","2","0.0014776505356483192"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7678820505100635405","2026-08-28T07:34:00+08:00","15","2182","2","0","0","0","0.0009165902841429881"
"ETCYY-US","wardrobepicked","ETCYY NEW Women's ElegantFloral Lace Patchwork Long Sleeve Blouse#fyp...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7680144259181464863","2026-08-31T18:42:40+08:00","19","2036","3","1","0","0","0.0019646365422396855"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7678539240342375694","2026-08-27T11:40:00+08:00","15","2030","1","0","0","2","0.0004926108374384236"
"ETCYY-US","wardrobepicked","ETCYY NEW Women's ElegantFloral Lace Patchwork Long Sleeve Blouse#fyp...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7680483684452961567","2026-09-01T16:40:26+08:00","19","1789","2","0","0","0","0.0011179429849077697"
"ETCYY-US","etcyy.shop","good in person 🖤💫#mesh #blouse #outfit #tiktokshopbacktoschool #backt...","https://www.tiktok.com/@MS4wLjABAAAAk77v-F906GlGTkZZ5pEuTXeDeihRllX-eae_barUoG6rv7_TlXAxE563gn3C1XXo/video/7679725753226775838","2026-08-30T15:38:44+08:00","6","1747","5","0","0","5","0.0028620492272467086"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7677693094405377293","2026-08-25T04:10:55+08:00","15","1671","0","0","1","0","0.0005984440454817474"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7676914108762983693","2026-08-23T04:20:00+08:00","15","1594","1","0","0","0","0.0006273525721455458"
"ETCYY-US","etcyy_chic7","#comfyoutfit #ootd #EffortlssChic #fyp #minimalstyle ","https://www.tiktok.com/@MS4wLjABAAAAOZlo8VLhFzwQxaJz__FbmqrJNInlS5egBBy6-UlIZAlLyOJpocLBFn8VCUkjTHxW/video/7677400935919897870","2026-08-24T09:17:02+08:00","15","1537","2","0","0","0","0.0013012361743656475"
"ETCYY-US","etcyyus","blouse shirt#shirts #ootd #DealsForYouDays #tiktokshopholidayhaul","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7678981875863457054","2026-08-28T15:32:39+08:00","12","1491","2","0","0","0","0.0013413816230717639"
"ETCYY-US","wardrobepicked","ETCYY NEW Women's ElegantFloral Lace Patchwork Long Sleeve Blouse#fyp...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7679025836464311582","2026-08-29T03:47:00+08:00","20","1409","0","0","0","0","0"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #fyp ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7682451808870042893","2026-09-06T23:57:08+08:00","15","1371","3","0","0","1","0.002188183807439825"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7678538828012866829","2026-08-27T10:52:33+08:00","15","1353","0","0","0","0","0"
"ETCYY-US","wardrobepicked","ETCYY Sexy Deep V Neck HalterCrop Top for Women#fyp #tiktokshopmemori...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7683107304455015710","2026-09-08T18:20:34+08:00","15","1341","15","0","0","2","0.011185682326621925"
"ETCYY-US","wardrobepicked","ETCYY   Women's   Denim Collar Sweater#fyp #tiktokshopmemorialday#for...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7680118007732964639","2026-08-31T17:01:15+08:00","15","1226","6","0","1","4","0.005709624796084829"
"ETCYY-US","wardrobepicked","ETCYY Sexy Deep V Neck HalterCrop Top for Women#fyp #tiktokshopmemori...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7681588080096103711","2026-09-04T16:05:55+08:00","12","1223","4","0","0","1","0.003270645952575634"
"ETCYY-US","etcyyus","fall instantly 🎀#maxidress #summersales #tiktokshopbacktoschool","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7678675604916538654","2026-08-27T19:43:30+08:00","15","1178","4","0","0","2","0.003395585738539898"
"ETCYY-US","wardrobepicked","ETCYY NEW Women's ElegantFloral Lace Patchwork Long Sleeve Blouse#fyp...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7682744583280692511","2026-09-07T18:53:56+08:00","18","1178","2","0","0","1","0.001697792869269949"
"ETCYY-US","etcyy.style","#ootd#WomensOfficeBlouse #StripedKnitTop #WorkWearForWomen ","https://www.tiktok.com/@MS4wLjABAAAAQ3FFLKyG0bIqEGSl9sECwwUSBa9ardtZjxuurrr8cU1J7aq2bG_vJhHFQ5YOavmm/video/7679024245917224205","2026-08-28T20:46:00+08:00","15","1166","0","0","0","0","0"
"ETCYY-US","etcyyus","blouse shirt#shirts #ootd #DealsForYouDays #tiktokshopholidayhaul","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7679013234912873758","2026-08-28T17:33:31+08:00","15","1162","2","0","0","0","0.0017211703958691911"
"ETCYY-US","wardrobepicked","ETCYY Women's Oversized Faux SuedeJacket,r#fyp #tiktokshopmemorialday...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7678996265077722399","2026-08-28T16:27:41+08:00","18","1151","2","0","0","0","0.0017376194613379669"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7677693615539309837","2026-08-25T05:42:00+08:00","15","1091","1","0","0","0","0.0009165902841429881"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7679140194641071374","2026-08-29T03:15:00+08:00","15","1031","1","0","0","0","0.0009699321047526673"
"ETCYY-US","wardrobepicked","ETCYY Sexy Deep V Neck HalterCrop Top for Women#fyp #tiktokshopmemori...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7682721879051767071","2026-09-07T17:25:47+08:00","12","945","6","0","0","1","0.006349206349206349"
"ETCYY","etfashion.chic","obsessed with how soft and high quality this feels 🐚🤎#swimwear #bikin...","https://www.tiktok.com/@MS4wLjABAAAAE5ssFIRGpZ7TixzpemcgiI6nSAJdZChEl0f0HlBe1H1O3ecaA6QWaEVDzfgLdcAn/video/7679357299101633806","2026-08-29T15:49:38+08:00","11","914","3","0","1","0","0.00437636761487965"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7676546485361724685","2026-08-22T03:30:00+08:00","15","903","1","0","0","0","0.0011074197120708748"
"ETCYY-US","etcyy_chic7","#comfyoutfit #ootd #EffortlssChic #fyp ","https://www.tiktok.com/@MS4wLjABAAAAOZlo8VLhFzwQxaJz__FbmqrJNInlS5egBBy6-UlIZAlLyOJpocLBFn8VCUkjTHxW/video/7676661428845055245","2026-08-22T09:27:22+08:00","15","896","5","0","0","1","0.005580357142857143"
"ETCYY-US","etcyy.shop","belted ruffled stripe dress#maxidress #summerdress #fashionfinds #Dea...","https://www.tiktok.com/@MS4wLjABAAAAk77v-F906GlGTkZZ5pEuTXeDeihRllX-eae_barUoG6rv7_TlXAxE563gn3C1XXo/video/7681241512797244702","2026-09-03T17:40:19+08:00","15","863","2","0","0","0","0.002317497103128621"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7676546946462518542","2026-08-22T04:59:00+08:00","15","832","1","0","0","1","0.001201923076923077"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7678819005833989390","2026-08-28T06:27:00+08:00","15","823","0","0","0","1","0"
"ETCYY-US","wardrobepicked","ETCYY NEW Women's ElegantFloral Lace Patchwork Long Sleeve Blouse#fyp...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7681644567031991582","2026-09-04T19:44:31+08:00","18","812","2","0","0","1","0.0024630541871921183"
"ETCYY","etfashion.chic","Comment “sale“，If you want a discount#swimwear #sale #ootd #DealsForY...","https://www.tiktok.com/@MS4wLjABAAAAE5ssFIRGpZ7TixzpemcgiI6nSAJdZChEl0f0HlBe1H1O3ecaA6QWaEVDzfgLdcAn/video/7682697177260510478","2026-09-07T15:49:04+08:00","11","804","0","0","0","0","0"
"ETCYY","etfashion.chic","the fit on this piece is beyond stunning#swimwear #bikini #ootd #summ...","https://www.tiktok.com/@MS4wLjABAAAAE5ssFIRGpZ7TixzpemcgiI6nSAJdZChEl0f0HlBe1H1O3ecaA6QWaEVDzfgLdcAn/video/7679002929084386573","2026-08-28T16:55:31+08:00","13","764","1","0","0","0","0.0013089005235602095"
"ETCYY","etcyychic","clearing out summer stock with crazy low prices ⚡️🌊#swimwear #bikini ...","https://www.tiktok.com/@MS4wLjABAAAA67cypz92QYqZmYg6fDgoLRPkXFvwonvRMfQTgbnU5iceQDLjyEX97uDleqIj141n/video/7679355804478131486","2026-08-29T15:43:26+08:00","8","756","0","0","0","0","0"
"ETCYY-US","wardrobepicked","ETCYY Sexy Deep V Neck HalterCrop Top for Women#fyp #tiktokshopmemori...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7680501965272435999","2026-09-01T17:51:01+08:00","16","742","0","0","0","0","0"
"ETCYY","etfashion.chic","hands down the most flattering piece I’ve bought#swimwear #bikini #oo...","https://www.tiktok.com/@MS4wLjABAAAAE5ssFIRGpZ7TixzpemcgiI6nSAJdZChEl0f0HlBe1H1O3ecaA6QWaEVDzfgLdcAn/video/7679032555236035853","2026-08-28T18:49:18+08:00","11","732","0","0","0","0","0"
"ETCYY","etcyychic","summer sale steals#swimwear #bikini #ootd #summersales #tiktokshopbac...","https://www.tiktok.com/@MS4wLjABAAAA67cypz92QYqZmYg6fDgoLRPkXFvwonvRMfQTgbnU5iceQDLjyEX97uDleqIj141n/video/7679031234663566623","2026-08-28T18:43:17+08:00","7","728","0","0","0","0","0"
"ETCYY-US","etcyy.shop","flattering 🕊️🤍#dress #ootd #tiktokshopbacktoschool #backtoschooldress","https://www.tiktok.com/@MS4wLjABAAAAk77v-F906GlGTkZZ5pEuTXeDeihRllX-eae_barUoG6rv7_TlXAxE563gn3C1XXo/video/7679355080377732382","2026-08-29T15:40:34+08:00","15","722","2","0","0","0","0.002770083102493075"
"ETCYY","etfashion.chic","Comment “sale“，If you want a discount#swimwear #sale #ootd #DealsForY...","https://www.tiktok.com/@MS4wLjABAAAAE5ssFIRGpZ7TixzpemcgiI6nSAJdZChEl0f0HlBe1H1O3ecaA6QWaEVDzfgLdcAn/video/7682712259356790030","2026-09-07T16:48:44+08:00","9","710","0","0","0","0","0"
"ETCYY-US","wardrobepicked","ETCYY Women's Oversized Faux SuedeJacket,r#fyp #tiktokshopmemorialday...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7680080152864328991","2026-08-31T14:34:13+08:00","19","702","1","0","0","0","0.0014245014245014246"
"ETCYY","etfashion.chic","every resort trip from now on 🌴#swimwear #bikini #ootd #summersales #...","https://www.tiktok.com/@MS4wLjABAAAAE5ssFIRGpZ7TixzpemcgiI6nSAJdZChEl0f0HlBe1H1O3ecaA6QWaEVDzfgLdcAn/video/7679729066664021261","2026-08-30T15:52:03+08:00","12","685","0","0","0","0","0"
"ETCYY-US","wardrobepicked","[GUNEST] Women's SummerSmocked Midi Dress-V-neck#summerfinds #tiktoks...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7681212037376101662","2026-09-03T15:47:03+08:00","19","676","0","0","0","0","0"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7676178685321383181","2026-08-21T03:50:00+08:00","15","673","0","0","0","0","0"
"ETCYY","etcyychic","don’t wait on this massive end-of-summer deal#swimwear #bikini #ootd ...","https://www.tiktok.com/@MS4wLjABAAAA67cypz92QYqZmYg6fDgoLRPkXFvwonvRMfQTgbnU5iceQDLjyEX97uDleqIj141n/video/7679386325774109982","2026-08-29T17:42:15+08:00","6","671","0","0","0","0","0"
"ETCYY","etcyychic","huge discount alert on this gorgeous resort piece 🚨#swimwear #bikini ...","https://www.tiktok.com/@MS4wLjABAAAA67cypz92QYqZmYg6fDgoLRPkXFvwonvRMfQTgbnU5iceQDLjyEX97uDleqIj141n/video/7679001570356366623","2026-08-28T16:48:15+08:00","7","665","0","1","0","0","0.0015037593984962407"
"ETCYY-US","etcyy.shop","lifting tonight ✨🌙#mesh #blouse #outfit #tiktokshopbacktoschool #back...","https://www.tiktok.com/@MS4wLjABAAAAk77v-F906GlGTkZZ5pEuTXeDeihRllX-eae_barUoG6rv7_TlXAxE563gn3C1XXo/video/7679000615543967006","2026-08-28T16:44:29+08:00","10","658","1","0","0","1","0.001519756838905775"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7676545852797701389","2026-08-22T01:58:45+08:00","15","658","1","0","0","0","0.001519756838905775"
"ETCYY-US","etcyy_chic7","meet the newest star of our autumn collection 🍁#jacket #coat #fallout...","https://www.tiktok.com/@MS4wLjABAAAAOZlo8VLhFzwQxaJz__FbmqrJNInlS5egBBy6-UlIZAlLyOJpocLBFn8VCUkjTHxW/video/7680869533996813581","2026-09-02T17:36:53+08:00","10","649","0","0","0","0","0"
"ETCYY-US","etcyy.shop","Comment “sale“，If you want a discount#2pieceset #outfit #fyp #tiktoks...","https://www.tiktok.com/@MS4wLjABAAAAk77v-F906GlGTkZZ5pEuTXeDeihRllX-eae_barUoG6rv7_TlXAxE563gn3C1XXo/video/7683466906749226270","2026-09-09T17:36:00+08:00","15","641","1","0","0","0","0.0015600624024961"
"ETCYY-US","etcyy.shop","denim trim waffle polo#shirts #ootd #tiktokshopbacktoschool #comfyoutfit","https://www.tiktok.com/@MS4wLjABAAAAk77v-F906GlGTkZZ5pEuTXeDeihRllX-eae_barUoG6rv7_TlXAxE563gn3C1XXo/video/7680871480934157599","2026-09-02T17:44:28+08:00","15","632","0","0","0","0","0"
"ETCYY-US","wardrobepicked","ETCYY   Women's   Denim Collar Sweater#fyp #tiktokshopmemorialday#for...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7679041990817877278","2026-08-29T11:50:00+08:00","18","627","1","0","1","0","0.003189792663476874"
"ETCYY-US","etcyyus","2pieceset#matchingset #boho #ootd #tiktokshopbacktoschool","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7677535116532387103","2026-08-24T17:58:01+08:00","15","613","0","0","0","0","0"
"ETCYY-US","etcyy.vibes","#tiktok #tiktokshop #tood ","https://www.tiktok.com/@MS4wLjABAAAAXhiLJGfuFXjsz8jJC7Xaebg4LFMP8HA-uFYWXldxI_udMGjoWd4xhdhbupkeG_5d/video/7677963845758897438","2026-08-26T00:10:00+08:00","15","605","0","0","0","0","0"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #fyp ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7680960555905043725","2026-09-02T23:30:35+08:00","15","605","3","0","0","0","0.0049586776859504135"
"ETCYY-US","wardrobepicked","ETCYY NEW Women's ElegantFloral Lace Patchwork Long Sleeve Blouse#fyp...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7683069850717097246","2026-09-08T15:56:00+08:00","14","604","0","0","0","0","0"
"ETCYY-US","etcyy.glam","#ootd#ButtonDetailBlouse #WomensFashionBlouse#UniqueDesignShirt","https://www.tiktok.com/@MS4wLjABAAAAI95MRpE0J2k31jCljJSn-F0-knBxN1H-2B629ifUTuROBthPTMhoEBgJdtPsHfIL/video/7678647726841548062","2026-08-27T20:25:00+08:00","15","585","0","0","0","0","0"
"ETCYY-US","etcyy.trends","#tiktok#tiktokshop #ootd","https://www.tiktok.com/@MS4wLjABAAAAxjZhhWuHncPj_vKg81t30P0KBSD0vIEjkmVaF2TqCud5QgyDrA1hvlysd3ksAMex/video/7677972819329797389","2026-08-25T23:46:00+08:00","15","580","0","0","0","0","0"
"ETCYY-US","etcyy.shop","Comment “sale“，If you want a discount#dress #outfit #fyp #DealsForYou...","https://www.tiktok.com/@MS4wLjABAAAAk77v-F906GlGTkZZ5pEuTXeDeihRllX-eae_barUoG6rv7_TlXAxE563gn3C1XXo/video/7683065172273024287","2026-09-08T15:37:42+08:00","13","578","0","0","0","0","0"
"ETCYY-US","etcyy.shop","instant dark romance energy unlocked 🖤🍷#mesh #blouse #outfit #tiktoks...","https://www.tiktok.com/@MS4wLjABAAAAk77v-F906GlGTkZZ5pEuTXeDeihRllX-eae_barUoG6rv7_TlXAxE563gn3C1XXo/video/7679030539650616607","2026-08-28T18:40:39+08:00","10","577","1","0","0","0","0.0017331022530329288"
"ETCYY-US","etcyyus","cowgirl#shirts #cowgirl #ootd #DealsForYouDays","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7677157352189037855","2026-08-23T17:32:29+08:00","14","575","1","0","0","0","0.0017391304347826088"
"ETCYY-US","etcyyus","80s shirt#shirts #cowboy #ootd ##tiktokshopbacktoschool","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7675722492463435038","2026-08-19T20:43:42+08:00","15","567","0","0","0","0","0"
"ETCYY-US","etcyyus","favorite romantic outfit ever 💕#maxidress #summersales #tiktokshopbac...","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7678691150844185886","2026-08-27T20:43:53+08:00","15","565","1","0","0","0","0.0017699115044247787"
"ETCYY-US","etcyy.wear","#ootd#WomensOfficeBlouse #StripedKnitTop #WorkWearForWomen ","https://www.tiktok.com/@MS4wLjABAAAASYmu1XGMcfs93-fOI77Urb73o1YDOmpOcA7fNZSv0jajFPiuSKiyyFHWc3bWvP-g/video/7678641799665028366","2026-08-27T20:02:00+08:00","15","565","0","0","0","1","0"
"ETCYY-US","etcyy.vibes","#ootd#ButtonDetailBlouse #WomensFashionBlouse#UniqueDesignShirt","https://www.tiktok.com/@MS4wLjABAAAAXhiLJGfuFXjsz8jJC7Xaebg4LFMP8HA-uFYWXldxI_udMGjoWd4xhdhbupkeG_5d/video/7678646502612339998","2026-08-27T20:19:00+08:00","15","562","0","0","0","0","0"
